model,loss_fn,train_dir,val_dir,epochs,es_patience,label_smoothing,grad_clip_norm,scheduler_factor,scheduler_patience,num_workers,input_size,batch_size,lr,weight_decay,hidden_sizes,dropout,HFlip,VFlip,RBContrast,best_epoch,best_train_aug_loss,best_train_aug_accuracy,best_train_aug_macro_f1,best_val_loss,best_val_accuracy,best_val_macro_f1,best_val_balanced_accuracy,final_train_eval_loss,final_train_eval_accuracy,final_train_eval_macro_f1,final_train_eval_balanced_accuracy,final_val_loss,final_val_accuracy,final_val_macro_f1,final_val_balanced_accuracy,generalization_gap_macro_f1,generalization_gap_accuracy,seed,run_label,stage
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,80,64,5e-05,0.0005,"(1024, 512)",0.25,0.5,0.5,0.5,17,1.127576762979681,0.5994108983799705,0.5985234758376978,1.316854993502299,0.5757575757575758,0.5866032362381496,0.5812409812409812,0.9025363813747059,0.6980854197349042,0.7060153841530793,0.7013446054750402,1.316854993502299,0.5757575757575758,0.5866032362381496,0.5812409812409812,0.11941214791492971,0.12232784397732843,2073,local_047_seed_2073,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,80,32,5e-05,0.0005,"(1536, 768)",0.25,0.5,0.5,0.3,15,1.2764606990597465,0.6318114874815906,0.631263153640597,1.4112866520881653,0.5696969696969697,0.5864525864699333,0.5802308802308802,1.134453689510172,0.7304860088365243,0.7354579160674355,0.7369524959742351,1.4112866520881653,0.5696969696969697,0.5864525864699333,0.5802308802308802,0.14900532959750223,0.16078903913955456,2055,local_029_seed_2055,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,29,1.0868072238835422,0.6686303387334315,0.6668283299482055,1.3637534777323406,0.5696969696969697,0.5843828675350414,0.5823953823953825,0.9195047237656333,0.7319587628865979,0.735380949015509,0.7352294685990338,1.3637534777323406,0.5696969696969697,0.5843828675350414,0.5823953823953825,0.15099808148046756,0.1622617931896282,7,repeat_trial53_seed_7,repeat_trial53
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,5e-05,0.001,"(768, 384)",0.55,0.5,0.5,0.5,58,1.2158601609143345,0.5905743740795287,0.5881809962530372,1.2734217941761017,0.5757575757575758,0.584209921386147,0.5901154401154401,0.9973345344716852,0.6921944035346097,0.6920384300045545,0.6981199677938809,1.2734217941761017,0.5757575757575758,0.584209921386147,0.5901154401154401,0.10782850861840743,0.1164368277770339,2046,local_020_seed_2046,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,80,64,5e-05,0.002,"(768, 384)",0.55,0.5,0.5,0.5,43,1.3260354237122969,0.5390279823269514,0.5387469524313514,1.3467363913853962,0.5818181818181818,0.5815951479558871,0.5911255411255412,0.9708931608633562,0.6627393225331369,0.6616668507089642,0.6651207729468599,1.3467363913853962,0.5818181818181818,0.5815951479558871,0.5911255411255412,0.08007170275307718,0.08092114071495515,2042,local_016_seed_2042,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,80,64,0.0002,0.002,"(1024, 512)",0.55,0.5,0.5,0.3,27,1.1311945481733843,0.5567010309278351,0.5571667204281971,1.2428908348083496,0.5818181818181818,0.5809198882936829,0.5865800865800865,0.8471744846213948,0.6627393225331369,0.6640297191331659,0.6705636070853461,1.2428908348083496,0.5818181818181818,0.5809198882936829,0.5865800865800865,0.08310983083948298,0.08092114071495515,2049,local_023_seed_2049,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,64,32,0.0001,0.001,"(1024, 512)",0.55,0.5,0.5,0.3,31,1.423615417697213,0.5449189985272459,0.5474987861190812,1.4041337966918945,0.5757575757575758,0.5791921041921042,0.581024531024531,1.2182029621167616,0.6715758468335787,0.6675782139837908,0.6776731078904992,1.4041337966918945,0.5757575757575758,0.5791921041921042,0.581024531024531,0.0883861097916866,0.09581827107600294,2064,local_038_seed_2064,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,80,64,5e-05,0.002,"(1536, 768)",0.45,0.5,0.5,0.3,32,1.34597956050526,0.6008836524300442,0.5997383298150895,1.512591282526652,0.5878787878787879,0.5785505853178394,0.6012265512265512,1.1437250971794128,0.7157584683357879,0.7043355529225583,0.7203945249597424,1.512591282526652,0.5878787878787879,0.5785505853178394,0.6012265512265512,0.1257849676047189,0.12787968045700004,2048,local_022_seed_2048,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,96,64,5e-05,0.001,"(1024, 512)",0.45,0.5,0.5,0.5,17,1.55042687329379,0.508100147275405,0.5097748442258969,1.4771056572596233,0.5878787878787879,0.5784247700844334,0.5947330447330448,1.2730538249015808,0.6185567010309279,0.5950565389191848,0.6259661835748792,1.4771056572596233,0.5878787878787879,0.5784247700844334,0.5947330447330448,0.01663176883475137,0.03067791315213997,2038,local_012_seed_2038,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,80,64,5e-05,0.001,"(1024, 512, 256)",0.35,0.5,0.5,0.3,33,1.3603582707318393,0.5714285714285714,0.5673907221481075,1.4916346073150635,0.5696969696969697,0.5772698110527034,0.5845598845598845,1.168966916474429,0.6863033873343152,0.688730653807172,0.6884500805152979,1.4916346073150635,0.5696969696969697,0.5772698110527034,0.5845598845598845,0.11146084275446866,0.11660641763734547,2071,local_045_seed_2071,local_search
